"Timestamp","Enter your name (7 characters or less)","Name that beer!","Name that beer!","Name that beer!","Name that cider!","Name that beer!","Name that beer!","Name that beer!","Name that cheap beer!"
"2016/12/10 11:21:44 pm GMT-4","Jess ","Nine Locks ESB","North Brewing Dartmouth Dark","Unfiltered Double Orange Ale","Bulwark Cider","Nine Locks ESB","Tatamagouche Deception Bay IPA","North Brewing Dartmouth Dark","Coors Light"
"2016/12/10 11:22:34 pm GMT-4","Mel","Nine Locks ESB","Good Robot Stankoniale","Tatamagouche Deception Bay IPA","Bulwark Cider","Breton Brewing Black IPA","Good Robot Stankoniale","North Brewing Dartmouth Dark","Coors Light"
"2016/12/10 11:22:39 pm GMT-4","Matt F","Good Robot Stankoniale","North Brewing Dartmouth Dark","Nine Locks ESB","Meander River Shack Wacky Apple Cider","Tatamagouche Deception Bay IPA","Unfiltered Double Orange Ale","North Brewing Dartmouth Dark","Bud Light"
"2016/12/10 11:23:03 pm GMT-4","Bwah","Good Robot Stankoniale","North Brewing Dartmouth Dark","Unfiltered Double Orange Ale","Meander River Shack Wacky Apple Cider","Tatamagouche Deception Bay IPA","Nine Locks ESB","Breton Brewing Black IPA","Coors Light"
"2016/12/10 11:23:42 pm GMT-4","R kelly","Nine Locks ESB","Breton Brewing Black IPA","Tatamagouche Deception Bay IPA","Meander River Shack Wacky Apple Cider","Good Robot Stankoniale","Unfiltered Double Orange Ale","North Brewing Dartmouth Dark","Bud Light"
"2016/12/10 11:25:04 pm GMT-4","Matt C","Nine Locks ESB","Breton Brewing Black IPA","Unfiltered Double Orange Ale","Meander River Shack Wacky Apple Cider","Good Robot Stankoniale","Tatamagouche Deception Bay IPA","North Brewing Dartmouth Dark","Bud Light"
"2016/12/10 11:25:47 pm GMT-4","Mons","Good Robot Stankoniale","Breton Brewing Black IPA","Tatamagouche Deception Bay IPA","Meander River Shack Wacky Apple Cider","Unfiltered Double Orange Ale","Nine Locks ESB","North Brewing Dartmouth Dark","Bud Light"
"2016/12/10 11:26:13 pm GMT-4","Tom","Tatamagouche Deception Bay IPA","Breton Brewing Black IPA","Unfiltered Double Orange Ale","Meander River Shack Wacky Apple Cider","Good Robot Stankoniale","North Brewing Dartmouth Dark","Good Robot Stankoniale","Molson Canadian"
"2016/12/10 11:26:17 pm GMT-4","Allie","Tatamagouche Deception Bay IPA","Breton Brewing Black IPA","Unfiltered Double Orange Ale","Meander River Shack Wacky Apple Cider","Good Robot Stankoniale","Nine Locks ESB","North Brewing Dartmouth Dark","Coors Light"
"2016/12/10 11:28:21 pm GMT-4","Bigdick","Nine Locks ESB","Nine Locks ESB","Unfiltered Double Orange Ale","Meander River Shack Wacky Apple Cider","Tatamagouche Deception Bay IPA","Good Robot Stankoniale","North Brewing Dartmouth Dark","Bud Light"
"2016/12/10 11:28:42 pm GMT-4","Shawn Bisson","Good Robot Stankoniale","Nine Locks ESB","Unfiltered Double Orange Ale","Meander River Shack Wacky Apple Cider","Breton Brewing Black IPA","Tatamagouche Deception Bay IPA","North Brewing Dartmouth Dark","Molson Canadian"
"2016/12/10 11:37:12 pm GMT-4","Andrew","Nine Locks ESB","Nine Locks ESB","Good Robot Stankoniale","Meander River Shack Wacky Apple Cider","","Breton Brewing Black IPA","Unfiltered Double Orange Ale","Coors Light"